priced_call_id,request_id,distributor_id,booking_id,priced_ts,ingest_ts,status_code,returned_products,currency
pc_bkg_500011_1,req_p_bkg_500011,dist_c,bkg_500011,2026-01-11T18:02:32Z,2026-01-11T08:12:32Z,200,"[{""supplier_id"":""sup_ref"",""product_type"":""refundability"",""offer_id"":""off_bkg_500011_sup_ref_374"",""offer_price"":28.02,""commission_estimate"":1.68}]",USD
pc_bkg_500012_2,req_p_bkg_500012,dist_c,bkg_500012,2026-01-11T10:59:56Z,2026-01-11T23:08:50Z,200,"[{""supplier_id"":""sup_esim"",""product_type"":""esim"",""offer_id"":""off_bkg_500012_sup_esim_363"",""offer_price"":33.84,""commission_estimate"":7.63},{""supplier_id"":""sup_ins"",""product_type"":""insurance"",""offer_id"":""off_bkg_500012_sup_ins_987"",""offer_price"":24.96,""commission_estimate"":4.17}]",USD
pc_bkg_500013_3,req_p_bkg_500013,dist_b,bkg_500013,2026-01-11T06:57:50Z,2026-01-11T21:21:44Z,200,"[{""supplier_id"":""sup_ins"",""product_type"":""insurance"",""offer_id"":""off_bkg_500013_sup_ins_470"",""offer_price"":43.35,""commission_estimate"":7.85},{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500013_sup_bag_423"",""offer_price"":19.99,""commission_estimate"":7.16},{""supplier_id"":""sup_ref"",""product_type"":""refundability"",""offer_id"":""off_bkg_500013_sup_ref_451"",""offer_price"":37.65,""commission_estimate"":2.54}]",USD
pc_bkg_500014_4,req_p_bkg_500014,dist_d,bkg_500014,2026-01-11T07:53:26Z,2026-01-11T18:32:16Z,200,"[{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500014_sup_vip_485"",""offer_price"":20.37,""commission_estimate"":8.37}]",USD
pc_bkg_500014_4_retry,req_p_bkg_500014,dist_d,bkg_500014,2026-01-11T07:53:29Z,2026-01-11T18:33:43Z,200,"[{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500014_sup_vip_485"",""offer_price"":20.37,""commission_estimate"":8.37}]",USD
pc_bkg_500015_5,req_p_bkg_500015,dist_c,bkg_500015,2026-01-11T07:24:03Z,2026-01-11T18:19:06Z,200,"[{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500015_sup_bag_556"",""offer_price"":16.37,""commission_estimate"":4.51},{""supplier_id"":""sup_ref"",""product_type"":""refundability"",""offer_id"":""off_bkg_500015_sup_ref_685"",""offer_price"":19.42,""commission_estimate"":8.59},{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500015_sup_vip_566"",""offer_price"":25.54,""commission_estimate"":8.24}]",USD
pc_bkg_500016_6,req_p_bkg_500016,dist_a,bkg_500016,2026-01-11T11:07:01Z,2026-01-11T19:42:31Z,200,"[{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500016_sup_vip_581"",""offer_price"":44.93,""commission_estimate"":2.13},{""supplier_id"":""sup_ins"",""product_type"":""insurance"",""offer_id"":""off_bkg_500016_sup_ins_991"",""offer_price"":20.42,""commission_estimate"":8.53}]",USD
pc_bkg_500017_7,req_p_bkg_500017,dist_a,bkg_500017,2026-01-11T20:32:57Z,2026-01-11T15:45:37Z,200,"[{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500017_sup_bag_847"",""offer_price"":21.07,""commission_estimate"":6.5}]",USD
pc_bkg_500017_7_retry,req_p_bkg_500017,dist_a,bkg_500017,2026-01-11T20:33:00Z,2026-01-11T15:47:01Z,200,"[{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500017_sup_bag_847"",""offer_price"":21.07,""commission_estimate"":6.5}]",USD
pc_bkg_500018_8,req_p_bkg_500018,dist_c,bkg_500018,2026-01-11T11:26:22Z,2026-01-11T19:02:38Z,500,[],USD
