priced_call_id,request_id,distributor_id,booking_id,priced_ts,ingest_ts,status_code,returned_products,currency
pc_bkg_500037_1,req_p_bkg_500037,dist_b,bkg_500037,2026-01-13T15:19:38Z,2026-01-13T23:50:42Z,200,"[{""supplier_id"":""sup_ref"",""product_type"":""refundability"",""offer_id"":""off_bkg_500037_sup_ref_415"",""offer_price"":17.11,""commission_estimate"":8.69}]",USD
pc_bkg_500038_2,req_p_bkg_500038,dist_d,bkg_500038,2026-01-13T07:27:04Z,2026-01-13T10:10:42Z,500,[],USD
pc_bkg_500039_3,req_p_bkg_500039,dist_b,bkg_500039,2026-01-13T08:28:37Z,2026-01-13T12:25:36Z,200,"[{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500039_sup_vip_176"",""offer_price"":42.85,""commission_estimate"":7.9},{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500039_sup_bag_191"",""offer_price"":23.13,""commission_estimate"":8.51}]",USD
pc_bkg_500040_4,req_p_bkg_500040,dist_a,bkg_500040,2026-01-13T12:43:02Z,2026-01-13T10:54:41Z,200,"[{""supplier_id"":""sup_ins"",""product_type"":""insurance"",""offer_id"":""off_bkg_500040_sup_ins_583"",""offer_price"":30.0,""commission_estimate"":3.67},{""supplier_id"":""sup_esim"",""product_type"":""esim"",""offer_id"":""off_bkg_500040_sup_esim_286"",""offer_price"":31.07,""commission_estimate"":4.24},{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500040_sup_bag_538"",""offer_price"":31.66,""commission_estimate"":1.83}]",USD
pc_bkg_500040_4_retry,req_p_bkg_500040,dist_a,bkg_500040,2026-01-13T12:43:05Z,2026-01-13T10:55:39Z,200,"[{""supplier_id"":""sup_ins"",""product_type"":""insurance"",""offer_id"":""off_bkg_500040_sup_ins_583"",""offer_price"":30.0,""commission_estimate"":3.67},{""supplier_id"":""sup_esim"",""product_type"":""esim"",""offer_id"":""off_bkg_500040_sup_esim_286"",""offer_price"":31.07,""commission_estimate"":4.24},{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500040_sup_bag_538"",""offer_price"":31.66,""commission_estimate"":1.83}]",USD
pc_bkg_500041_5,req_p_bkg_500041,dist_b,bkg_500041,2026-01-13T15:23:32Z,2026-01-13T19:45:16Z,200,"[{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500041_sup_vip_641"",""offer_price"":38.96,""commission_estimate"":8.41}]",USD
pc_bkg_500041_5_retry,req_p_bkg_500041,dist_b,bkg_500041,2026-01-13T15:23:35Z,2026-01-13T19:49:14Z,200,"[{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500041_sup_vip_641"",""offer_price"":38.96,""commission_estimate"":8.41}]",USD
pc_bkg_500042_6,req_p_bkg_500042,dist_a,bkg_500042,2026-01-13T10:33:48Z,2026-01-13T09:29:58Z,200,"[{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500042_sup_vip_480"",""offer_price"":17.55,""commission_estimate"":7.02},{""supplier_id"":""sup_esim"",""product_type"":""esim"",""offer_id"":""off_bkg_500042_sup_esim_482"",""offer_price"":31.27,""commission_estimate"":3.27},{""supplier_id"":""sup_ins"",""product_type"":""insurance"",""offer_id"":""off_bkg_500042_sup_ins_651"",""offer_price"":35.78,""commission_estimate"":8.98}]",USD
pc_bkg_500043_7,req_p_bkg_500043,dist_c,bkg_500043,2026-01-13T12:10:02Z,2026-01-13T17:03:37Z,500,[],USD
pc_bkg_500044_8,req_p_bkg_500044,dist_c,bkg_500044,2026-01-13T19:42:11Z,2026-01-13T09:42:39Z,500,[],USD
