priced_call_id,request_id,distributor_id,booking_id,priced_ts,ingest_ts,status_code,returned_products,currency
pc_bkg_500064_1,req_p_bkg_500064,dist_b,bkg_500064,2026-01-15T12:14:19Z,2026-01-15T20:32:09Z,200,"[{""supplier_id"":""sup_ref"",""product_type"":""refundability"",""offer_id"":""off_bkg_500064_sup_ref_272"",""offer_price"":15.06,""commission_estimate"":8.17},{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500064_sup_vip_221"",""offer_price"":9.68,""commission_estimate"":6.03},{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500064_sup_bag_817"",""offer_price"":6.64,""commission_estimate"":6.75}]",USD
pc_bkg_500065_2,req_p_bkg_500065,dist_d,bkg_500065,2026-01-15T13:35:40Z,2026-01-15T13:50:39Z,200,"[{""supplier_id"":""sup_ins"",""product_type"":""insurance"",""offer_id"":""off_bkg_500065_sup_ins_675"",""offer_price"":17.59,""commission_estimate"":2.89},{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500065_sup_bag_255"",""offer_price"":30.08,""commission_estimate"":8.85},{""supplier_id"":""sup_ref"",""product_type"":""refundability"",""offer_id"":""off_bkg_500065_sup_ref_109"",""offer_price"":31.75,""commission_estimate"":8.17}]",USD
pc_bkg_500066_3,req_p_bkg_500066,dist_c,bkg_500066,2026-01-15T21:04:11Z,2026-01-15T20:20:32Z,500,[],USD
pc_bkg_500067_4,req_p_bkg_500067,dist_c,bkg_500067,2026-01-15T09:48:28Z,2026-01-15T06:09:16Z,200,"[{""supplier_id"":""sup_esim"",""product_type"":""esim"",""offer_id"":""off_bkg_500067_sup_esim_219"",""offer_price"":33.17,""commission_estimate"":4.84},{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500067_sup_bag_459"",""offer_price"":20.54,""commission_estimate"":2.0}]",USD
pc_bkg_500068_5,req_p_bkg_500068,dist_c,bkg_500068,2026-01-15T14:36:33Z,2026-01-15T08:06:00Z,200,"[{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500068_sup_bag_558"",""offer_price"":21.11,""commission_estimate"":2.43},{""supplier_id"":""sup_esim"",""product_type"":""esim"",""offer_id"":""off_bkg_500068_sup_esim_283"",""offer_price"":31.3,""commission_estimate"":3.66}]",USD
pc_bkg_500069_6,req_p_bkg_500069,dist_b,bkg_500069,2026-01-15T13:47:51Z,2026-01-15T19:23:24Z,200,"[{""supplier_id"":""sup_bag"",""product_type"":""baggage"",""offer_id"":""off_bkg_500069_sup_bag_819"",""offer_price"":22.88,""commission_estimate"":6.22},{""supplier_id"":""sup_esim"",""product_type"":""esim"",""offer_id"":""off_bkg_500069_sup_esim_823"",""offer_price"":41.92,""commission_estimate"":8.87},{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500069_sup_vip_330"",""offer_price"":32.28,""commission_estimate"":2.84}]",USD
pc_bkg_500070_7,req_p_bkg_500070,dist_c,bkg_500070,2026-01-15T20:51:45Z,2026-01-15T16:45:00Z,200,"[{""supplier_id"":""sup_esim"",""product_type"":""esim"",""offer_id"":""off_bkg_500070_sup_esim_343"",""offer_price"":6.89,""commission_estimate"":2.07},{""supplier_id"":""sup_ins"",""product_type"":""insurance"",""offer_id"":""off_bkg_500070_sup_ins_377"",""offer_price"":13.11,""commission_estimate"":2.46}]",USD
pc_bkg_500071_8,req_p_bkg_500071,dist_b,bkg_500071,2026-01-15T13:33:08Z,2026-01-15T11:41:17Z,200,"[{""supplier_id"":""sup_esim"",""product_type"":""esim"",""offer_id"":""off_bkg_500071_sup_esim_676"",""offer_price"":22.36,""commission_estimate"":8.79},{""supplier_id"":""sup_ins"",""product_type"":""insurance"",""offer_id"":""off_bkg_500071_sup_ins_810"",""offer_price"":31.76,""commission_estimate"":7.35},{""supplier_id"":""sup_ref"",""product_type"":""refundability"",""offer_id"":""off_bkg_500071_sup_ref_176"",""offer_price"":15.06,""commission_estimate"":7.15}]",USD
pc_bkg_500072_9,req_p_bkg_500072,dist_c,bkg_500072,2026-01-15T08:58:23Z,2026-01-15T11:26:17Z,200,"[{""supplier_id"":""sup_vip"",""product_type"":""vip_support"",""offer_id"":""off_bkg_500072_sup_vip_734"",""offer_price"":7.57,""commission_estimate"":2.91},{""supplier_id"":""sup_esim"",""product_type"":""esim"",""offer_id"":""off_bkg_500072_sup_esim_575"",""offer_price"":35.97,""commission_estimate"":2.83}]",USD
pc_bkg_500073_10,req_p_bkg_500073,dist_a,bkg_500073,2026-01-15T17:54:08Z,2026-01-15T12:14:01Z,200,"[{""supplier_id"":""sup_ins"",""product_type"":""insurance"",""offer_id"":""off_bkg_500073_sup_ins_622"",""offer_price"":26.98,""commission_estimate"":4.84}]",USD
